label,start,stop
nonspeech,0.0,0.06
speech,0.06,3.62
nonspeech,3.62,3.76
speech,3.76,4.65
nonspeech,4.65,5.13
speech,5.13,6.95
nonspeech,6.95,7.22
speech,7.22,7.7
nonspeech,7.7,8.05
speech,8.05,10.91
nonspeech,10.91,11.61
speech,11.61,13.21
nonspeech,13.21,13.61
speech,13.61,14.04
nonspeech,14.04,14.41
speech,14.41,14.99
nonspeech,14.99,15.29
speech,15.29,16.18
nonspeech,16.18,16.65
speech,16.65,17.15
nonspeech,17.15,17.58
speech,17.58,23.8
nonspeech,23.8,23.99
speech,23.99,27.17
nonspeech,27.17,27.73
speech,27.73,35.35
nonspeech,35.35,35.5
speech,35.5,35.93
nonspeech,35.93,36.02
speech,36.02,43.25
nonspeech,43.25,43.51
speech,43.51,45.41
nonspeech,45.41,45.7
speech,45.7,53.55
nonspeech,53.55,53.77
speech,53.77,55.95
nonspeech,55.95,55.97
speech,55.97,57.78
nonspeech,57.78,58.18
speech,58.18,59.99
nonspeech,59.99,60.3
speech,60.3,61.18
nonspeech,61.18,61.19
