label,start,stop
nonspeech,0.0,0.07
speech,0.07,4.86
nonspeech,4.86,5.02
speech,5.02,6.35
nonspeech,6.35,6.69
speech,6.69,7.69
nonspeech,7.69,7.72
speech,7.72,13.67
nonspeech,13.67,15.09
speech,15.09,17.38
nonspeech,17.38,18.64
speech,18.64,24.72
nonspeech,24.72,24.76
speech,24.76,26.77
nonspeech,26.77,27.28
speech,27.28,32.46
nonspeech,32.46,32.53
speech,32.53,35.64
nonspeech,35.64,35.8
speech,35.8,40.82
nonspeech,40.82,40.96
speech,40.96,45.42
nonspeech,45.42,45.5
speech,45.5,46.98
nonspeech,46.98,47.66
speech,47.66,49.6
nonspeech,49.6,50.33
speech,50.33,50.37
nonspeech,50.37,50.68
speech,50.68,51.24
nonspeech,51.24,52.21
speech,52.21,53.11
nonspeech,53.11,53.77
speech,53.77,55.52
nonspeech,55.52,58.89
speech,58.89,60.68
nonspeech,60.68,60.69
