label,start,stop
nonspeech,0.0,0.28
speech,0.28,3.55
nonspeech,3.55,4.08
speech,4.08,11.37
nonspeech,11.37,11.79
speech,11.79,15.01
nonspeech,15.01,15.03
speech,15.03,15.72
nonspeech,15.72,15.97
speech,15.97,19.43
nonspeech,19.43,19.81
speech,19.81,25.09
nonspeech,25.09,25.33
speech,25.33,27.75
nonspeech,27.75,27.87
speech,27.87,31.18
nonspeech,31.18,31.31
speech,31.31,38.08
nonspeech,38.08,38.38
speech,38.38,42.3
nonspeech,42.3,42.34
speech,42.34,43.93
nonspeech,43.93,44.36
speech,44.36,46.76
nonspeech,46.76,46.94
speech,46.94,50.08
nonspeech,50.08,50.37
speech,50.37,54.06
nonspeech,54.06,54.27
speech,54.27,60.0
nonspeech,60.0,60.01
