label,start,stop
nonspeech,0.0,0.01
speech,0.01,3.52
nonspeech,3.52,3.98
speech,3.98,6.25
nonspeech,6.25,7.09
speech,7.09,9.66
nonspeech,9.66,9.8
speech,9.8,10.21
nonspeech,10.21,10.24
speech,10.24,10.49
nonspeech,10.49,10.6
speech,10.6,13.52
nonspeech,13.52,13.55
speech,13.55,16.87
nonspeech,16.87,17.44
speech,17.44,18.43
nonspeech,18.43,18.63
speech,18.63,21.81
nonspeech,21.81,22.41
speech,22.41,28.12
nonspeech,28.12,28.41
speech,28.41,34.58
nonspeech,34.58,34.91
speech,34.91,37.91
nonspeech,37.91,38.0
speech,38.0,42.37
nonspeech,42.37,42.77
speech,42.77,44.48
nonspeech,44.48,45.38
speech,45.38,47.61
nonspeech,47.61,48.39
speech,48.39,53.8
nonspeech,53.8,53.86
speech,53.86,55.55
nonspeech,55.55,55.9
speech,55.9,57.34
nonspeech,57.34,57.39
speech,57.39,59.98
nonspeech,59.98,59.99
