label,start,stop
nonspeech,0.0,2.39
speech,2.39,3.15
nonspeech,3.15,3.26
speech,3.26,8.21
nonspeech,8.21,8.29
speech,8.29,11.19
nonspeech,11.19,13.52
speech,13.52,16.81
nonspeech,16.81,16.95
speech,16.95,17.26
nonspeech,17.26,17.45
speech,17.45,18.34
nonspeech,18.34,19.3
speech,19.3,20.22
nonspeech,20.22,21.4
speech,21.4,25.06
nonspeech,25.06,26.93
speech,26.93,27.45
nonspeech,27.45,27.63
speech,27.63,29.75
nonspeech,29.75,32.72
speech,32.72,34.07
nonspeech,34.07,34.46
speech,34.46,35.83
nonspeech,35.83,38.65
speech,38.65,39.82
nonspeech,39.82,40.3
speech,40.3,41.09
nonspeech,41.09,46.55
speech,46.55,47.89
nonspeech,47.89,51.79
speech,51.79,53.59
nonspeech,53.59,53.71
speech,53.71,54.33
nonspeech,54.33,55.45
speech,55.45,56.09
nonspeech,56.09,56.49
speech,56.49,57.75
nonspeech,57.75,60.02
speech,60.02,60.95
nonspeech,60.95,61.57
