label,start,stop
nonspeech,0.0,0.03
speech,0.03,2.07
nonspeech,2.07,2.88
speech,2.88,4.67
nonspeech,4.67,5.13
speech,5.13,5.99
nonspeech,5.99,6.24
speech,6.24,8.35
nonspeech,8.35,9.08
speech,9.08,11.11
nonspeech,11.11,11.35
speech,11.35,15.0
nonspeech,15.0,15.56
speech,15.56,17.25
nonspeech,17.25,17.53
speech,17.53,18.67
nonspeech,18.67,18.77
speech,18.77,20.25
nonspeech,20.25,20.38
speech,20.38,21.42
nonspeech,21.42,21.71
speech,21.71,23.4
nonspeech,23.4,23.46
speech,23.46,24.44
nonspeech,24.44,24.86
speech,24.86,26.21
nonspeech,26.21,26.79
speech,26.79,29.56
nonspeech,29.56,30.15
speech,30.15,31.55
nonspeech,31.55,31.93
speech,31.93,36.85
nonspeech,36.85,37.31
speech,37.31,38.38
nonspeech,38.38,38.39
speech,38.39,40.14
nonspeech,40.14,41.42
speech,41.42,47.43
nonspeech,47.43,47.51
speech,47.51,54.38
nonspeech,54.38,54.55
speech,54.55,55.38
nonspeech,55.38,55.48
speech,55.48,56.01
nonspeech,56.01,56.3
speech,56.3,60.15
nonspeech,60.15,60.16
