label,start,stop
nonspeech,0.0,0.01
speech,0.01,2.86
nonspeech,2.86,2.9
speech,2.9,7.32
nonspeech,7.32,7.44
speech,7.44,10.8
nonspeech,10.8,10.93
speech,10.93,13.44
nonspeech,13.44,14.01
speech,14.01,19.27
nonspeech,19.27,19.39
speech,19.39,22.96
nonspeech,22.96,23.08
speech,23.08,26.48
nonspeech,26.48,26.93
speech,26.93,29.78
nonspeech,29.78,29.87
speech,29.87,32.89
nonspeech,32.89,33.07
speech,33.07,36.64
nonspeech,36.64,36.65
speech,36.65,39.62
nonspeech,39.62,39.66
speech,39.66,41.97
nonspeech,41.97,42.11
speech,42.11,44.04
nonspeech,44.04,44.79
speech,44.79,47.17
nonspeech,47.17,47.49
speech,47.49,50.73
nonspeech,50.73,51.36
speech,51.36,53.35
nonspeech,53.35,53.5
speech,53.5,54.52
nonspeech,54.52,54.54
speech,54.54,58.12
nonspeech,58.12,58.39
speech,58.39,60.15
nonspeech,60.15,60.16
