label,start,stop
nonspeech,0.0,0.58
speech,0.58,1.45
nonspeech,1.45,1.76
speech,1.76,6.24
nonspeech,6.24,6.46
speech,6.46,9.44
nonspeech,9.44,9.45
speech,9.45,11.8
nonspeech,11.8,11.92
speech,11.92,15.66
nonspeech,15.66,15.76
speech,15.76,27.74
nonspeech,27.74,27.76
speech,27.76,29.03
nonspeech,29.03,29.11
speech,29.11,29.65
nonspeech,29.65,29.88
speech,29.88,36.91
nonspeech,36.91,36.92
speech,36.92,39.91
nonspeech,39.91,40.39
speech,40.39,42.77
nonspeech,42.77,42.78
speech,42.78,49.29
nonspeech,49.29,49.44
speech,49.44,51.95
nonspeech,51.95,52.57
speech,52.57,59.98
nonspeech,59.98,59.99
