label,start,stop
nonspeech,0.0,0.27
speech,0.27,1.09
nonspeech,1.09,1.27
speech,1.27,3.07
nonspeech,3.07,3.24
speech,3.24,3.86
nonspeech,3.86,4.01
speech,4.01,7.61
nonspeech,7.61,7.98
speech,7.98,9.58
nonspeech,9.58,10.07
speech,10.07,11.76
nonspeech,11.76,11.9
speech,11.9,16.39
nonspeech,16.39,16.49
speech,16.49,18.03
nonspeech,18.03,18.14
speech,18.14,20.56
nonspeech,20.56,20.85
speech,20.85,21.67
nonspeech,21.67,21.9
speech,21.9,22.69
nonspeech,22.69,22.78
speech,22.78,23.88
nonspeech,23.88,24.08
speech,24.08,30.96
nonspeech,30.96,31.18
speech,31.18,35.74
nonspeech,35.74,36.07
speech,36.07,41.9
nonspeech,41.9,41.91
speech,41.91,43.76
nonspeech,43.76,44.05
speech,44.05,47.42
nonspeech,47.42,47.59
speech,47.59,49.01
nonspeech,49.01,49.29
speech,49.29,52.73
nonspeech,52.73,52.96
speech,52.96,54.58
nonspeech,54.58,54.62
speech,54.62,57.51
nonspeech,57.51,57.68
speech,57.68,59.63
nonspeech,59.63,59.77
speech,59.77,60.0
nonspeech,60.0,60.01
