label,start,stop
nonspeech,0.0,0.01
speech,0.01,1.89
nonspeech,1.89,1.91
speech,1.91,11.37
nonspeech,11.37,11.51
speech,11.51,17.89
nonspeech,17.89,18.07
speech,18.07,18.53
nonspeech,18.53,18.67
speech,18.67,21.73
nonspeech,21.73,22.99
speech,22.99,23.37
nonspeech,23.37,23.49
speech,23.49,25.79
nonspeech,25.79,25.8
speech,25.8,27.0
nonspeech,27.0,27.06
speech,27.06,33.27
nonspeech,33.27,33.49
speech,33.49,37.09
nonspeech,37.09,37.28
speech,37.28,39.95
nonspeech,39.95,40.1
speech,40.1,43.58
nonspeech,43.58,43.63
speech,43.63,45.1
nonspeech,45.1,45.41
speech,45.41,46.61
nonspeech,46.61,46.77
speech,46.77,50.03
nonspeech,50.03,50.88
speech,50.88,52.81
nonspeech,52.81,54.18
speech,54.18,59.98
nonspeech,59.98,59.99
