label,start,stop
speech,0.0,0.61
nonspeech,0.61,0.95
speech,0.95,3.08
nonspeech,3.08,3.23
speech,3.23,5.47
nonspeech,5.47,5.59
speech,5.59,6.14
nonspeech,6.14,6.2
speech,6.2,7.52
nonspeech,7.52,8.45
speech,8.45,11.28
nonspeech,11.28,11.38
speech,11.38,13.42
nonspeech,13.42,13.85
speech,13.85,15.25
nonspeech,15.25,15.26
speech,15.26,24.52
nonspeech,24.52,24.82
speech,24.82,32.48
nonspeech,32.48,32.61
speech,32.61,35.51
nonspeech,35.51,35.64
speech,35.64,38.47
nonspeech,38.47,38.91
speech,38.91,40.45
nonspeech,40.45,40.75
speech,40.75,42.81
nonspeech,42.81,43.08
speech,43.08,44.42
nonspeech,44.42,44.55
speech,44.55,51.26
nonspeech,51.26,51.33
speech,51.33,56.31
nonspeech,56.31,56.46
speech,56.46,59.01
nonspeech,59.01,59.18
speech,59.18,61.86
nonspeech,61.86,61.87
