label,start,stop
nonspeech,0.0,0.01
speech,0.01,2.27
nonspeech,2.27,2.35
speech,2.35,3.08
nonspeech,3.08,3.19
speech,3.19,6.09
nonspeech,6.09,6.21
speech,6.21,11.44
nonspeech,11.44,11.48
speech,11.48,14.01
nonspeech,14.01,14.1
speech,14.1,21.13
nonspeech,21.13,21.21
speech,21.21,23.6
nonspeech,23.6,23.67
speech,23.67,32.21
nonspeech,32.21,32.23
speech,32.23,36.15
nonspeech,36.15,36.23
speech,36.23,40.89
nonspeech,40.89,40.94
speech,40.94,42.62
nonspeech,42.62,42.74
speech,42.74,47.44
nonspeech,47.44,47.5
speech,47.5,51.38
nonspeech,51.38,51.43
speech,51.43,53.98
nonspeech,53.98,54.1
speech,54.1,58.32
nonspeech,58.32,58.68
speech,58.68,59.98
nonspeech,59.98,59.99
