label,start,stop
nonspeech,0.0,0.13
speech,0.13,1.04
nonspeech,1.04,1.35
speech,1.35,3.73
nonspeech,3.73,6.26
speech,6.26,7.09
nonspeech,7.09,10.23
speech,10.23,12.46
nonspeech,12.46,13.61
speech,13.61,14.36
nonspeech,14.36,14.65
speech,14.65,15.31
nonspeech,15.31,16.55
speech,16.55,18.85
nonspeech,18.85,20.4
speech,20.4,21.23
nonspeech,21.23,23.88
speech,23.88,24.84
nonspeech,24.84,24.86
speech,24.86,26.04
nonspeech,26.04,26.6
speech,26.6,27.85
nonspeech,27.85,34.64
speech,34.64,36.65
nonspeech,36.65,37.67
speech,37.67,38.45
nonspeech,38.45,41.79
speech,41.79,43.79
nonspeech,43.79,44.36
speech,44.36,45.21
nonspeech,45.21,45.83
speech,45.83,47.16
nonspeech,47.16,47.62
speech,47.62,48.88
nonspeech,48.88,49.29
speech,49.29,50.76
nonspeech,50.76,53.14
speech,53.14,55.9
nonspeech,55.9,57.57
speech,57.57,59.28
nonspeech,59.28,59.75
speech,59.75,60.34
nonspeech,60.34,60.35
