label,start,stop
nonspeech,0.0,0.01
speech,0.01,5.23
nonspeech,5.23,5.26
speech,5.26,9.35
nonspeech,9.35,9.41
speech,9.41,11.38
nonspeech,11.38,11.42
speech,11.42,13.92
nonspeech,13.92,14.02
speech,14.02,15.44
nonspeech,15.44,15.54
speech,15.54,17.59
nonspeech,17.59,17.66
speech,17.66,19.56
nonspeech,19.56,19.62
speech,19.62,22.69
nonspeech,22.69,23.17
speech,23.17,25.69
nonspeech,25.69,26.16
speech,26.16,35.02
nonspeech,35.02,35.16
speech,35.16,35.71
nonspeech,35.71,36.01
speech,36.01,37.58
nonspeech,37.58,37.59
speech,37.59,37.62
nonspeech,37.62,37.64
speech,37.64,39.57
nonspeech,39.57,40.0
speech,40.0,43.86
nonspeech,43.86,44.27
speech,44.27,47.83
nonspeech,47.83,48.32
speech,48.32,52.17
nonspeech,52.17,52.4
speech,52.4,56.13
nonspeech,56.13,56.57
speech,56.57,57.42
nonspeech,57.42,57.51
speech,57.51,59.98
nonspeech,59.98,59.99
