label,start,stop
nonspeech,0.0,0.75
speech,0.75,1.53
nonspeech,1.53,3.49
speech,3.49,3.52
nonspeech,3.52,3.53
speech,3.53,5.08
nonspeech,5.08,5.52
speech,5.52,6.1
nonspeech,6.1,6.12
speech,6.12,10.52
nonspeech,10.52,10.59
speech,10.59,14.79
nonspeech,14.79,15.35
speech,15.35,17.0
nonspeech,17.0,18.37
speech,18.37,19.14
nonspeech,19.14,20.87
speech,20.87,22.7
nonspeech,22.7,24.88
speech,24.88,25.26
nonspeech,25.26,25.83
speech,25.83,30.15
nonspeech,30.15,30.18
speech,30.18,34.84
nonspeech,34.84,35.02
speech,35.02,35.87
nonspeech,35.87,36.33
speech,36.33,40.24
nonspeech,40.24,41.25
speech,41.25,41.55
nonspeech,41.55,41.65
speech,41.65,42.32
nonspeech,42.32,42.65
speech,42.65,44.87
nonspeech,44.87,46.07
speech,46.07,46.94
nonspeech,46.94,47.18
speech,47.18,48.68
nonspeech,48.68,48.86
speech,48.86,49.61
nonspeech,49.61,49.67
speech,49.67,54.13
nonspeech,54.13,54.14
speech,54.14,56.22
nonspeech,56.22,56.31
speech,56.31,58.64
nonspeech,58.64,59.07
speech,59.07,60.24
nonspeech,60.24,60.67
