label,start,stop
nonspeech,0.0,0.01
speech,0.01,1.13
nonspeech,1.13,1.93
speech,1.93,3.3
nonspeech,3.3,7.0
speech,7.0,8.04
nonspeech,8.04,10.65
speech,10.65,13.47
nonspeech,13.47,13.84
speech,13.84,14.51
nonspeech,14.51,15.59
speech,15.59,16.81
nonspeech,16.81,18.44
speech,18.44,18.83
nonspeech,18.83,20.02
speech,20.02,22.01
nonspeech,22.01,24.1
speech,24.1,26.16
nonspeech,26.16,26.51
speech,26.51,27.76
nonspeech,27.76,28.07
speech,28.07,28.88
nonspeech,28.88,29.52
speech,29.52,31.94
nonspeech,31.94,33.51
speech,33.51,35.26
nonspeech,35.26,36.68
speech,36.68,37.4
nonspeech,37.4,38.23
speech,38.23,38.89
nonspeech,38.89,40.12
speech,40.12,40.84
nonspeech,40.84,42.32
speech,42.32,43.5
nonspeech,43.5,43.62
speech,43.62,44.16
nonspeech,44.16,45.56
speech,45.56,46.46
nonspeech,46.46,47.05
speech,47.05,48.35
nonspeech,48.35,49.4
speech,49.4,50.45
nonspeech,50.45,53.24
speech,53.24,55.87
nonspeech,55.87,57.11
speech,57.11,58.39
nonspeech,58.39,58.66
speech,58.66,61.83
nonspeech,61.83,61.87
