label,start,stop
nonspeech,0.0,0.07
speech,0.07,3.58
nonspeech,3.58,3.81
speech,3.81,9.93
nonspeech,9.93,10.62
speech,10.62,19.84
nonspeech,19.84,19.99
speech,19.99,23.29
nonspeech,23.29,23.5
speech,23.5,30.49
nonspeech,30.49,30.58
speech,30.58,32.66
nonspeech,32.66,32.78
speech,32.78,36.55
nonspeech,36.55,36.56
speech,36.56,37.25
nonspeech,37.25,37.44
speech,37.44,39.42
nonspeech,39.42,39.74
speech,39.74,45.78
nonspeech,45.78,45.86
speech,45.86,46.28
nonspeech,46.28,46.55
speech,46.55,50.2
nonspeech,50.2,50.42
speech,50.42,54.32
nonspeech,54.32,54.61
speech,54.61,57.93
nonspeech,57.93,58.05
speech,58.05,59.97
nonspeech,59.97,59.99
