label,start,stop
nonspeech,0.0,0.38
speech,0.38,1.37
nonspeech,1.37,1.68
speech,1.68,3.39
nonspeech,3.39,3.88
speech,3.88,4.49
nonspeech,4.49,4.64
speech,4.64,5.4
nonspeech,5.4,6.66
speech,6.66,9.15
nonspeech,9.15,10.19
speech,10.19,10.37
nonspeech,10.37,10.44
speech,10.44,11.07
nonspeech,11.07,11.67
speech,11.67,12.24
nonspeech,12.24,12.33
speech,12.33,13.15
nonspeech,13.15,14.34
speech,14.34,16.9
nonspeech,16.9,17.49
speech,17.49,18.8
nonspeech,18.8,20.24
speech,20.24,20.99
nonspeech,20.99,21.3
speech,21.3,22.06
nonspeech,22.06,28.83
speech,28.83,31.39
nonspeech,31.39,31.62
speech,31.62,37.34
nonspeech,37.34,37.5
speech,37.5,40.13
nonspeech,40.13,40.17
speech,40.17,41.9
nonspeech,41.9,42.42
speech,42.42,43.45
nonspeech,43.45,43.9
speech,43.9,47.01
nonspeech,47.01,47.3
speech,47.3,47.65
nonspeech,47.65,47.67
speech,47.67,48.48
nonspeech,48.48,48.88
speech,48.88,49.87
nonspeech,49.87,50.35
speech,50.35,51.15
nonspeech,51.15,52.23
speech,52.23,53.04
nonspeech,53.04,53.62
speech,53.62,54.2
nonspeech,54.2,55.44
speech,55.44,56.44
nonspeech,56.44,56.75
speech,56.75,57.33
nonspeech,57.33,57.96
speech,57.96,58.99
nonspeech,58.99,59.51
speech,59.51,60.35
nonspeech,60.35,61.08
speech,61.08,61.54
nonspeech,61.54,61.55
