label,start,stop
speech,0.0,2.86
nonspeech,2.86,3.59
speech,3.59,5.89
nonspeech,5.89,6.1
speech,6.1,13.12
nonspeech,13.12,13.34
speech,13.34,17.45
nonspeech,17.45,17.66
speech,17.66,19.08
nonspeech,19.08,19.25
speech,19.25,33.07
nonspeech,33.07,33.45
speech,33.45,36.25
nonspeech,36.25,36.47
speech,36.47,37.4
nonspeech,37.4,37.53
speech,37.53,38.61
nonspeech,38.61,39.28
speech,39.28,40.27
nonspeech,40.27,40.35
speech,40.35,42.13
nonspeech,42.13,42.42
speech,42.42,43.31
nonspeech,43.31,43.7
speech,43.7,47.66
nonspeech,47.66,48.28
speech,48.28,52.8
nonspeech,52.8,52.82
speech,52.82,52.86
nonspeech,52.86,52.97
speech,52.97,60.24
nonspeech,60.24,60.25
