label,start,stop
nonspeech,0.0,0.03
speech,0.03,2.6
nonspeech,2.6,2.71
speech,2.71,5.49
nonspeech,5.49,5.64
speech,5.64,9.14
nonspeech,9.14,9.17
speech,9.17,9.83
nonspeech,9.83,10.06
speech,10.06,11.91
nonspeech,11.91,12.06
speech,12.06,15.06
nonspeech,15.06,15.21
speech,15.21,16.77
nonspeech,16.77,16.91
speech,16.91,19.69
nonspeech,19.69,19.73
speech,19.73,24.59
nonspeech,24.59,24.93
speech,24.93,26.26
nonspeech,26.26,27.13
speech,27.13,29.72
nonspeech,29.72,31.34
speech,31.34,33.0
nonspeech,33.0,33.07
speech,33.07,33.67
nonspeech,33.67,34.28
speech,34.28,35.81
nonspeech,35.81,36.83
speech,36.83,37.51
nonspeech,37.51,38.05
speech,38.05,40.1
nonspeech,40.1,40.22
speech,40.22,48.16
nonspeech,48.16,48.77
speech,48.77,56.6
nonspeech,56.6,59.76
speech,59.76,60.95
nonspeech,60.95,60.99
