label,start,stop
nonspeech,0.0,0.98
speech,0.98,1.43
nonspeech,1.43,1.44
speech,1.44,1.92
nonspeech,1.92,2.37
speech,2.37,9.34
nonspeech,9.34,12.5
speech,12.5,15.18
nonspeech,15.18,16.25
speech,16.25,22.24
nonspeech,22.24,22.6
speech,22.6,24.29
nonspeech,24.29,24.3
speech,24.3,24.36
nonspeech,24.36,24.39
speech,24.39,25.31
nonspeech,25.31,25.53
speech,25.53,25.93
nonspeech,25.93,26.38
speech,26.38,26.62
nonspeech,26.62,26.9
speech,26.9,27.85
nonspeech,27.85,27.94
speech,27.94,30.36
nonspeech,30.36,30.48
speech,30.48,31.19
nonspeech,31.19,36.97
speech,36.97,37.69
nonspeech,37.69,39.15
speech,39.15,39.62
nonspeech,39.62,41.49
speech,41.49,42.72
nonspeech,42.72,45.97
speech,45.97,47.51
nonspeech,47.51,47.6
speech,47.6,48.18
nonspeech,48.18,48.51
speech,48.51,49.15
nonspeech,49.15,50.25
speech,50.25,50.94
nonspeech,50.94,51.93
speech,51.93,52.53
nonspeech,52.53,55.25
speech,55.25,56.49
nonspeech,56.49,57.17
speech,57.17,58.34
nonspeech,58.34,60.95
speech,60.95,61.75
nonspeech,61.75,61.76
