label,start,stop
nonspeech,0.0,0.01
speech,0.01,0.37
nonspeech,0.37,0.43
speech,0.43,2.06
nonspeech,2.06,2.26
speech,2.26,3.53
nonspeech,3.53,3.75
speech,3.75,7.22
nonspeech,7.22,7.27
speech,7.27,8.91
nonspeech,8.91,9.06
speech,9.06,10.49
nonspeech,10.49,10.56
speech,10.56,12.81
nonspeech,12.81,13.01
speech,13.01,14.9
nonspeech,14.9,15.07
speech,15.07,23.73
nonspeech,23.73,24.09
speech,24.09,24.81
nonspeech,24.81,24.9
speech,24.9,27.62
nonspeech,27.62,27.69
speech,27.69,28.31
nonspeech,28.31,28.67
speech,28.67,32.56
nonspeech,32.56,32.78
speech,32.78,33.21
nonspeech,33.21,33.27
speech,33.27,35.44
nonspeech,35.44,35.68
speech,35.68,36.43
nonspeech,36.43,36.6
speech,36.6,41.64
nonspeech,41.64,41.94
speech,41.94,44.24
nonspeech,44.24,44.64
speech,44.64,47.36
nonspeech,47.36,47.75
speech,47.75,51.03
nonspeech,51.03,51.25
speech,51.25,53.79
nonspeech,53.79,54.53
speech,54.53,60.6
nonspeech,60.6,60.68
speech,60.68,61.2
nonspeech,61.2,61.21
