label,start,stop
nonspeech,0.0,0.34
speech,0.34,0.6
nonspeech,0.6,0.64
speech,0.64,0.82
nonspeech,0.82,0.85
speech,0.85,0.88
nonspeech,0.88,1.02
speech,1.02,6.07
nonspeech,6.07,6.11
speech,6.11,11.32
nonspeech,11.32,11.37
speech,11.37,12.24
nonspeech,12.24,12.3
speech,12.3,12.32
nonspeech,12.32,12.39
speech,12.39,13.93
nonspeech,13.93,14.14
speech,14.14,19.14
nonspeech,19.14,19.17
speech,19.17,36.03
nonspeech,36.03,36.16
speech,36.16,36.73
nonspeech,36.73,37.28
speech,37.28,37.31
nonspeech,37.31,37.51
speech,37.51,43.17
nonspeech,43.17,43.45
speech,43.45,59.94
nonspeech,59.94,60.01
