label,start,stop
nonspeech,0.0,0.15
speech,0.15,2.48
nonspeech,2.48,2.67
speech,2.67,4.14
nonspeech,4.14,5.1
speech,5.1,13.19
nonspeech,13.19,13.49
speech,13.49,19.2
nonspeech,19.2,19.38
speech,19.38,22.19
nonspeech,22.19,22.45
speech,22.45,24.53
nonspeech,24.53,24.66
speech,24.66,27.21
nonspeech,27.21,27.43
speech,27.43,32.37
nonspeech,32.37,32.46
speech,32.46,38.05
nonspeech,38.05,38.18
speech,38.18,39.44
nonspeech,39.44,39.69
speech,39.69,41.92
nonspeech,41.92,42.21
speech,42.21,43.39
nonspeech,43.39,43.53
speech,43.53,45.55
nonspeech,45.55,46.15
speech,46.15,50.43
nonspeech,50.43,50.55
speech,50.55,59.18
nonspeech,59.18,59.36
speech,59.36,59.98
nonspeech,59.98,59.99
