label,start,stop
nonspeech,0.0,0.01
speech,0.01,4.83
nonspeech,4.83,5.19
speech,5.19,7.88
nonspeech,7.88,7.9
speech,7.9,10.41
nonspeech,10.41,10.7
speech,10.7,13.03
nonspeech,13.03,13.1
speech,13.1,21.07
nonspeech,21.07,21.08
speech,21.08,22.06
nonspeech,22.06,22.16
speech,22.16,24.97
nonspeech,24.97,25.19
speech,25.19,30.16
nonspeech,30.16,30.26
speech,30.26,32.87
nonspeech,32.87,32.89
speech,32.89,32.96
nonspeech,32.96,33.13
speech,33.13,33.54
nonspeech,33.54,34.06
speech,34.06,34.43
nonspeech,34.43,35.49
speech,35.49,37.3
nonspeech,37.3,37.69
speech,37.69,38.33
nonspeech,38.33,39.4
speech,39.4,41.1
nonspeech,41.1,42.44
speech,42.44,46.09
nonspeech,46.09,46.71
speech,46.71,51.79
nonspeech,51.79,53.91
speech,53.91,54.65
nonspeech,54.65,55.55
speech,55.55,60.0
nonspeech,60.0,60.01
