label,start,stop
nonspeech,0.0,0.15
speech,0.15,9.88
nonspeech,9.88,10.08
speech,10.08,10.51
nonspeech,10.51,10.94
speech,10.94,15.25
nonspeech,15.25,15.31
speech,15.31,17.06
nonspeech,17.06,17.17
speech,17.17,17.47
nonspeech,17.47,17.75
speech,17.75,19.82
nonspeech,19.82,20.41
speech,20.41,21.06
nonspeech,21.06,21.23
speech,21.23,22.75
nonspeech,22.75,23.08
speech,23.08,25.53
nonspeech,25.53,25.98
speech,25.98,26.47
nonspeech,26.47,26.67
speech,26.67,26.9
nonspeech,26.9,27.13
speech,27.13,27.75
nonspeech,27.75,27.79
speech,27.79,29.09
nonspeech,29.09,29.1
speech,29.1,29.11
nonspeech,29.11,29.15
speech,29.15,29.16
nonspeech,29.16,34.73
speech,34.73,35.73
nonspeech,35.73,36.03
speech,36.03,38.46
nonspeech,38.46,38.57
speech,38.57,39.27
nonspeech,39.27,39.31
speech,39.31,39.35
nonspeech,39.35,39.4
speech,39.4,46.94
nonspeech,46.94,47.02
speech,47.02,47.86
nonspeech,47.86,48.03
speech,48.03,48.98
nonspeech,48.98,49.62
speech,49.62,59.26
nonspeech,59.26,59.33
speech,59.33,61.22
nonspeech,61.22,61.31
