label,start,stop
nonspeech,0.0,0.01
speech,0.01,4.08
nonspeech,4.08,4.22
speech,4.22,8.9
nonspeech,8.9,9.03
speech,9.03,12.62
nonspeech,12.62,12.8
speech,12.8,16.47
nonspeech,16.47,16.55
speech,16.55,19.12
nonspeech,19.12,19.27
speech,19.27,23.2
nonspeech,23.2,23.33
speech,23.33,24.48
nonspeech,24.48,25.94
speech,25.94,28.61
nonspeech,28.61,28.7
speech,28.7,29.6
nonspeech,29.6,29.89
speech,29.89,33.19
nonspeech,33.19,33.54
speech,33.54,33.93
nonspeech,33.93,33.94
speech,33.94,34.0
nonspeech,34.0,34.29
speech,34.29,36.66
nonspeech,36.66,37.02
speech,37.02,37.93
nonspeech,37.93,37.96
speech,37.96,39.52
nonspeech,39.52,40.19
speech,40.19,42.79
nonspeech,42.79,43.02
speech,43.02,45.8
nonspeech,45.8,46.04
speech,46.04,49.7
nonspeech,49.7,51.26
speech,51.26,56.5
nonspeech,56.5,56.62
speech,56.62,61.13
nonspeech,61.13,61.24
speech,61.24,61.92
nonspeech,61.92,61.93
