label,start,stop
nonspeech,0.0,2.0
speech,2.0,3.01
nonspeech,3.01,3.05
speech,3.05,3.69
nonspeech,3.69,4.05
speech,4.05,5.54
nonspeech,5.54,5.79
speech,5.79,7.82
nonspeech,7.82,9.31
speech,9.31,11.25
nonspeech,11.25,11.29
speech,11.29,17.51
nonspeech,17.51,18.21
speech,18.21,25.83
nonspeech,25.83,26.79
speech,26.79,30.46
nonspeech,30.46,30.58
speech,30.58,32.72
nonspeech,32.72,32.98
speech,32.98,33.51
nonspeech,33.51,33.65
speech,33.65,36.14
nonspeech,36.14,36.34
speech,36.34,38.27
nonspeech,38.27,38.93
speech,38.93,41.6
nonspeech,41.6,42.42
speech,42.42,45.7
nonspeech,45.7,46.11
speech,46.11,46.48
nonspeech,46.48,46.74
speech,46.74,48.57
nonspeech,48.57,48.97
speech,48.97,51.92
nonspeech,51.92,52.48
speech,52.48,53.1
nonspeech,53.1,53.5
speech,53.5,54.62
nonspeech,54.62,54.88
speech,54.88,56.86
nonspeech,56.86,57.72
speech,57.72,59.61
nonspeech,59.61,61.08
