label,start,stop
nonspeech,0.0,5.45
speech,5.45,6.3
nonspeech,6.3,16.63
speech,16.63,17.53
nonspeech,17.53,22.43
speech,22.43,23.22
nonspeech,23.22,25.99
speech,25.99,27.63
nonspeech,27.63,28.21
speech,28.21,28.67
nonspeech,28.67,33.06
speech,33.06,33.75
nonspeech,33.75,35.79
speech,35.79,36.95
nonspeech,36.95,37.51
speech,37.51,37.91
nonspeech,37.91,43.13
speech,43.13,44.09
nonspeech,44.09,46.61
speech,46.61,47.4
nonspeech,47.4,48.07
speech,48.07,48.93
nonspeech,48.93,56.68
speech,56.68,58.23
nonspeech,58.23,61.12
