label,start,stop
speech,0.0,8.21
nonspeech,8.21,8.3
speech,8.3,10.64
nonspeech,10.64,10.95
speech,10.95,11.76
nonspeech,11.76,12.06
speech,12.06,12.93
nonspeech,12.93,13.52
speech,13.52,16.11
nonspeech,16.11,16.55
speech,16.55,19.43
nonspeech,19.43,20.14
speech,20.14,23.79
nonspeech,23.79,23.91
speech,23.91,27.07
nonspeech,27.07,27.32
speech,27.32,32.0
nonspeech,32.0,32.2
speech,32.2,34.13
nonspeech,34.13,34.27
speech,34.27,35.81
nonspeech,35.81,36.11
speech,36.11,38.91
nonspeech,38.91,39.09
speech,39.09,40.31
nonspeech,40.31,40.69
speech,40.69,42.64
nonspeech,42.64,42.68
speech,42.68,49.87
nonspeech,49.87,49.88
speech,49.88,52.71
nonspeech,52.71,52.81
speech,52.81,56.4
nonspeech,56.4,56.89
speech,56.89,59.98
nonspeech,59.98,60.01
