label,start,stop
nonspeech,0.0,0.04
speech,0.04,4.28
nonspeech,4.28,4.86
speech,4.86,5.36
nonspeech,5.36,5.76
speech,5.76,7.6
nonspeech,7.6,7.82
speech,7.82,8.94
nonspeech,8.94,9.11
speech,9.11,10.15
nonspeech,10.15,10.32
speech,10.32,12.17
nonspeech,12.17,12.54
speech,12.54,13.16
nonspeech,13.16,13.58
speech,13.58,15.14
nonspeech,15.14,15.21
speech,15.21,17.25
nonspeech,17.25,17.47
speech,17.47,18.1
nonspeech,18.1,18.36
speech,18.36,23.56
nonspeech,23.56,23.78
speech,23.78,25.01
nonspeech,25.01,25.4
speech,25.4,26.49
nonspeech,26.49,26.52
speech,26.52,27.46
nonspeech,27.46,27.95
speech,27.95,29.2
nonspeech,29.2,29.22
speech,29.22,31.12
nonspeech,31.12,31.29
speech,31.29,32.64
nonspeech,32.64,32.67
speech,32.67,34.14
nonspeech,34.14,34.41
speech,34.41,35.48
nonspeech,35.48,35.59
speech,35.59,37.63
nonspeech,37.63,38.3
speech,38.3,41.54
nonspeech,41.54,41.62
speech,41.62,44.14
nonspeech,44.14,44.82
speech,44.82,51.58
nonspeech,51.58,51.8
speech,51.8,53.95
nonspeech,53.95,54.03
speech,54.03,58.44
nonspeech,58.44,58.85
speech,58.85,59.98
nonspeech,59.98,59.99
