label,start,stop
nonspeech,0.0,0.44
speech,0.44,0.94
nonspeech,0.94,0.96
speech,0.96,4.24
nonspeech,4.24,4.57
speech,4.57,16.64
nonspeech,16.64,17.09
speech,17.09,21.27
nonspeech,21.27,21.44
speech,21.44,31.12
nonspeech,31.12,31.23
speech,31.23,33.16
nonspeech,33.16,36.97
speech,36.97,42.58
nonspeech,42.58,42.71
speech,42.71,43.26
nonspeech,43.26,43.62
speech,43.62,49.13
nonspeech,49.13,50.06
speech,50.06,52.03
nonspeech,52.03,52.08
speech,52.08,54.25
nonspeech,54.25,54.49
speech,54.49,60.0
nonspeech,60.0,60.01
