label,start,stop
nonspeech,0.0,0.15
speech,0.15,0.86
nonspeech,0.86,0.99
speech,0.99,2.01
nonspeech,2.01,2.11
speech,2.11,4.7
nonspeech,4.7,4.73
speech,4.73,5.59
nonspeech,5.59,5.61
speech,5.61,12.53
nonspeech,12.53,12.67
speech,12.67,17.41
nonspeech,17.41,17.74
speech,17.74,33.24
nonspeech,33.24,33.59
speech,33.59,34.16
nonspeech,34.16,34.18
speech,34.18,37.83
nonspeech,37.83,38.17
speech,38.17,41.96
nonspeech,41.96,42.04
speech,42.04,44.93
nonspeech,44.93,45.09
speech,45.09,52.31
nonspeech,52.31,52.46
speech,52.46,53.19
nonspeech,53.19,53.39
speech,53.39,59.98
nonspeech,59.98,59.99
