label,start,stop
nonspeech,0.0,0.55
speech,0.55,0.58
nonspeech,0.58,0.78
speech,0.78,1.29
nonspeech,1.29,1.34
speech,1.34,3.49
nonspeech,3.49,4.45
speech,4.45,6.89
nonspeech,6.89,6.99
speech,6.99,10.03
nonspeech,10.03,10.08
speech,10.08,15.68
nonspeech,15.68,16.01
speech,16.01,16.83
nonspeech,16.83,17.25
speech,17.25,18.04
nonspeech,18.04,18.72
speech,18.72,21.18
nonspeech,21.18,21.33
speech,21.33,28.57
nonspeech,28.57,28.75
speech,28.75,29.62
nonspeech,29.62,29.77
speech,29.77,53.6
nonspeech,53.6,53.76
speech,53.76,55.57
nonspeech,55.57,56.09
speech,56.09,59.48
nonspeech,59.48,59.77
speech,59.77,60.0
nonspeech,60.0,60.01
