label,start,stop
nonspeech,0.0,0.19
speech,0.19,1.35
nonspeech,1.35,1.57
speech,1.57,2.79
nonspeech,2.79,2.82
speech,2.82,4.61
nonspeech,4.61,5.9
speech,5.9,7.28
nonspeech,7.28,7.55
speech,7.55,10.61
nonspeech,10.61,11.1
speech,11.1,13.32
nonspeech,13.32,14.28
speech,14.28,18.68
nonspeech,18.68,19.12
speech,19.12,20.94
nonspeech,20.94,21.09
speech,21.09,22.16
nonspeech,22.16,23.24
speech,23.24,24.58
nonspeech,24.58,24.76
speech,24.76,25.7
nonspeech,25.7,26.38
speech,26.38,27.69
nonspeech,27.69,28.64
speech,28.64,30.72
nonspeech,30.72,30.96
speech,30.96,33.31
nonspeech,33.31,33.88
speech,33.88,37.17
nonspeech,37.17,37.32
speech,37.32,38.96
nonspeech,38.96,38.98
speech,38.98,40.13
nonspeech,40.13,41.21
speech,41.21,43.69
nonspeech,43.69,44.24
speech,44.24,45.15
nonspeech,45.15,45.49
speech,45.49,47.98
nonspeech,47.98,48.7
speech,48.7,50.84
nonspeech,50.84,50.92
speech,50.92,52.83
nonspeech,52.83,53.44
speech,53.44,55.3
nonspeech,55.3,55.58
speech,55.58,57.48
nonspeech,57.48,57.97
speech,57.97,61.31
nonspeech,61.31,61.61
speech,61.61,62.01
nonspeech,62.01,62.02
