label,start,stop
nonspeech,0.0,0.52
speech,0.52,1.58
nonspeech,1.58,1.81
speech,1.81,2.52
nonspeech,2.52,2.81
speech,2.81,4.54
nonspeech,4.54,4.67
speech,4.67,7.15
nonspeech,7.15,7.32
speech,7.32,7.65
nonspeech,7.65,8.57
speech,8.57,9.38
nonspeech,9.38,9.74
speech,9.74,10.6
nonspeech,10.6,11.03
speech,11.03,11.74
nonspeech,11.74,12.82
speech,12.82,15.71
nonspeech,15.71,15.97
speech,15.97,24.95
nonspeech,24.95,25.01
speech,25.01,26.86
nonspeech,26.86,26.98
speech,26.98,27.58
nonspeech,27.58,28.71
speech,28.71,29.63
nonspeech,29.63,30.28
speech,30.28,32.3
nonspeech,32.3,33.84
speech,33.84,35.17
nonspeech,35.17,35.43
speech,35.43,38.54
nonspeech,38.54,38.63
speech,38.63,39.96
nonspeech,39.96,40.23
speech,40.23,51.17
nonspeech,51.17,51.62
speech,51.62,56.97
nonspeech,56.97,58.48
speech,58.48,60.86
nonspeech,60.86,61.91
