label,start,stop
nonspeech,0.0,0.01
speech,0.01,2.05
nonspeech,2.05,2.76
speech,2.76,15.57
nonspeech,15.57,15.9
speech,15.9,17.49
nonspeech,17.49,17.57
speech,17.57,18.47
nonspeech,18.47,18.56
speech,18.56,19.25
nonspeech,19.25,20.08
speech,20.08,20.93
nonspeech,20.93,21.03
speech,21.03,21.99
nonspeech,21.99,23.39
speech,23.39,24.73
nonspeech,24.73,24.86
speech,24.86,28.11
nonspeech,28.11,28.18
speech,28.18,28.59
nonspeech,28.59,29.4
speech,29.4,30.12
nonspeech,30.12,30.28
speech,30.28,32.06
nonspeech,32.06,32.53
speech,32.53,33.67
nonspeech,33.67,33.91
speech,33.91,38.36
nonspeech,38.36,38.51
speech,38.51,44.18
nonspeech,44.18,44.39
speech,44.39,46.76
nonspeech,46.76,47.0
speech,47.0,48.84
nonspeech,48.84,48.89
speech,48.89,49.6
nonspeech,49.6,49.79
speech,49.79,50.71
nonspeech,50.71,51.17
speech,51.17,54.0
nonspeech,54.0,54.8
speech,54.8,56.14
nonspeech,56.14,57.29
speech,57.29,58.33
nonspeech,58.33,59.25
speech,59.25,60.75
nonspeech,60.75,61.55
