label,start,stop
nonspeech,0.0,1.09
speech,1.09,2.86
nonspeech,2.86,2.94
speech,2.94,7.04
nonspeech,7.04,7.18
speech,7.18,8.65
nonspeech,8.65,9.13
speech,9.13,11.59
nonspeech,11.59,13.76
speech,13.76,19.16
nonspeech,19.16,19.38
speech,19.38,25.77
nonspeech,25.77,25.88
speech,25.88,26.82
nonspeech,26.82,26.92
speech,26.92,27.49
nonspeech,27.49,27.59
speech,27.59,30.29
nonspeech,30.29,30.42
speech,30.42,33.16
nonspeech,33.16,33.29
speech,33.29,37.61
nonspeech,37.61,37.72
speech,37.72,41.01
nonspeech,41.01,41.06
speech,41.06,42.41
nonspeech,42.41,42.57
speech,42.57,45.75
nonspeech,45.75,46.1
speech,46.1,51.26
nonspeech,51.26,51.56
speech,51.56,53.28
nonspeech,53.28,53.49
speech,53.49,57.25
nonspeech,57.25,57.56
speech,57.56,58.47
nonspeech,58.47,58.74
speech,58.74,61.26
nonspeech,61.26,61.27
