label,start,stop
nonspeech,0.0,0.42
speech,0.42,4.59
nonspeech,4.59,4.61
speech,4.61,5.09
nonspeech,5.09,5.28
speech,5.28,11.7
nonspeech,11.7,11.8
speech,11.8,13.33
nonspeech,13.33,13.43
speech,13.43,14.7
nonspeech,14.7,14.91
speech,14.91,18.83
nonspeech,18.83,18.99
speech,18.99,20.91
nonspeech,20.91,21.16
speech,21.16,22.71
nonspeech,22.71,23.08
speech,23.08,23.55
nonspeech,23.55,26.32
speech,26.32,30.0
nonspeech,30.0,30.06
speech,30.06,35.01
nonspeech,35.01,35.05
speech,35.05,40.15
nonspeech,40.15,40.25
speech,40.25,40.95
nonspeech,40.95,42.23
speech,42.23,48.24
nonspeech,48.24,49.08
speech,49.08,51.57
nonspeech,51.57,51.85
speech,51.85,54.43
nonspeech,54.43,55.3
speech,55.3,57.18
nonspeech,57.18,57.32
speech,57.32,58.92
nonspeech,58.92,58.95
speech,58.95,60.39
nonspeech,60.39,60.4
