label,start,stop
nonspeech,0.0,0.03
speech,0.03,1.42
nonspeech,1.42,1.64
speech,1.64,5.24
nonspeech,5.24,5.46
speech,5.46,6.01
nonspeech,6.01,6.27
speech,6.27,9.34
nonspeech,9.34,9.39
speech,9.39,15.73
nonspeech,15.73,15.84
speech,15.84,17.61
nonspeech,17.61,17.67
speech,17.67,18.44
nonspeech,18.44,18.83
speech,18.83,28.57
nonspeech,28.57,28.67
speech,28.67,32.06
nonspeech,32.06,32.24
speech,32.24,34.62
nonspeech,34.62,34.72
speech,34.72,35.18
nonspeech,35.18,35.31
speech,35.31,43.0
nonspeech,43.0,43.31
speech,43.31,45.77
nonspeech,45.77,46.11
speech,46.11,48.49
nonspeech,48.49,48.52
speech,48.52,49.86
nonspeech,49.86,50.07
speech,50.07,54.78
nonspeech,54.78,54.79
speech,54.79,58.38
nonspeech,58.38,58.48
speech,58.48,61.03
nonspeech,61.03,61.04
