label,start,stop
nonspeech,0.0,0.01
speech,0.01,2.42
nonspeech,2.42,2.52
speech,2.52,8.05
nonspeech,8.05,8.24
speech,8.24,11.94
nonspeech,11.94,12.03
speech,12.03,13.89
nonspeech,13.89,13.94
speech,13.94,18.42
nonspeech,18.42,20.63
speech,20.63,26.3
nonspeech,26.3,26.42
speech,26.42,30.48
nonspeech,30.48,30.56
speech,30.56,32.64
nonspeech,32.64,32.81
speech,32.81,33.64
nonspeech,33.64,34.31
speech,34.31,37.84
nonspeech,37.84,38.03
speech,38.03,42.41
nonspeech,42.41,42.65
speech,42.65,43.31
nonspeech,43.31,43.32
speech,43.32,44.05
nonspeech,44.05,44.29
speech,44.29,45.2
nonspeech,45.2,45.3
speech,45.3,46.47
nonspeech,46.47,46.9
speech,46.9,48.48
nonspeech,48.48,48.83
speech,48.83,50.37
nonspeech,50.37,50.58
speech,50.58,52.92
nonspeech,52.92,53.0
speech,53.0,53.56
nonspeech,53.56,53.84
speech,53.84,55.93
nonspeech,55.93,57.28
speech,57.28,58.38
nonspeech,58.38,59.23
speech,59.23,60.75
nonspeech,60.75,60.76
