label,start,stop
male,0.0,2.0
female,2.0,3.01
male,3.01,3.05
female,3.05,3.69
male,3.69,4.05
female,4.05,5.54
male,5.54,5.79
female,5.79,7.82
male,7.82,26.79
female,26.79,30.46
male,30.46,30.58
female,30.58,32.72
male,32.72,32.98
female,32.98,33.51
male,33.51,33.65
female,33.65,36.14
male,36.14,36.34
female,36.34,38.27
male,38.27,38.93
female,38.93,41.6
male,41.6,42.42
female,42.42,45.7
male,45.7,46.74
female,46.74,48.57
male,48.57,48.97
female,48.97,51.92
male,51.92,54.88
female,54.88,56.86
male,56.86,57.72
female,57.72,59.61
male,59.61,61.08
