label,start,stop
male,0.0,8.65
female,8.65,10.84
male,10.84,10.95
female,10.95,12.15
male,12.15,12.22
female,12.22,14.46
male,14.46,14.66
female,14.66,16.85
male,16.85,16.9
female,16.9,20.12
male,20.12,20.43
female,20.43,22.61
male,22.61,23.84
female,23.84,26.86
male,26.86,27.32
female,27.32,28.04
male,28.04,28.57
female,28.57,31.22
male,31.22,31.79
female,31.79,33.91
male,33.91,34.2
female,34.2,37.08
male,37.08,37.16
female,37.16,37.55
male,37.55,37.72
female,37.72,39.02
male,39.02,39.2
female,39.2,41.3
male,41.3,41.72
female,41.72,46.73
male,46.73,46.86
female,46.86,48.78
male,48.78,48.96
female,48.96,50.41
male,50.41,50.76
female,50.76,55.15
male,55.15,55.22
female,55.22,58.76
male,58.76,58.82
female,58.82,60.26
male,60.26,60.32
female,60.32,61.11
male,61.11,61.12
