label,start,stop
male,0.0,0.28
female,0.28,1.03
male,1.03,1.04
female,1.04,1.62
male,1.62,1.73
female,1.73,4.29
male,4.29,4.38
female,4.38,6.82
male,6.82,7.09
female,7.09,10.78
male,10.78,10.96
female,10.96,13.87
male,13.87,14.09
female,14.09,14.97
male,14.97,15.24
female,15.24,20.95
male,20.95,21.06
female,21.06,28.17
male,28.17,28.26
female,28.26,33.21
male,33.21,33.32
female,33.32,40.22
male,40.22,40.25
female,40.25,44.71
male,44.71,44.82
female,44.82,47.61
male,47.61,47.65
female,47.65,53.3
male,53.3,53.39
female,53.39,57.87
male,57.87,58.12
female,58.12,59.2
male,59.2,59.42
female,59.42,61.05
male,61.05,61.06
