label,start,stop
male,0.0,0.01
female,0.01,1.42
male,1.42,1.94
female,1.94,8.31
male,8.31,8.71
female,8.71,12.455
male,12.455,21.41
female,21.41,23.45
male,23.45,23.68
female,23.68,24.23
male,24.23,24.61
female,24.61,25.85
male,25.85,27.21
female,27.21,27.62
male,27.62,27.8
female,27.8,29.9
male,29.9,30.32
female,30.32,32.98
male,32.98,33.01
female,33.01,35.22
male,35.22,35.32
female,35.32,38.66
male,38.66,40.91
female,40.91,43.72
male,43.72,43.95
female,43.95,48.71
male,48.71,51.61
female,51.61,54.01
male,54.01,54.8
female,54.8,59.5
male,59.5,59.72
female,59.72,61.15
male,61.15,61.4
