label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA+HA,0.0,1.913,speech,True,male,adult,standard,,,,,,,,,,
,1.913,2.334,nonspeech,False,,,,,,,,,,,,,True
HA+HA,2.334,4.236,speech,True,male,adult,standard,,,,,,,,,,
BR,4.236,4.647,nonspeech,False,,,,,True,,,,,,,,
HA+HA,4.647,7.745,speech,True,male,adult,standard,,,,,,,,,,
,7.745,9.247,nonspeech,False,,,,,,,,,,,,,True
FA,9.247,14.305,speech,False,female,adult,standard,,,,,,,,,,
,14.305,15.279,nonspeech,False,,,,,,,,,,,,,True
HA,15.279,18.011,speech,False,male,adult,standard,,,,,,,,,,
,18.011,18.438,nonspeech,False,,,,,,,,,,,,,True
HA+HA,18.438,25.103,speech,True,male,adult,standard,,,,,,,,,,
BR,25.103,26.425,nonspeech,False,,,,,True,,,,,,,,
HA+HA,26.425,31.32,speech,True,male,adult,standard,,,,,,,,,,
BR,31.32,32.895,nonspeech,False,,,,,True,,,,,,,,
HA+HA,32.895,36.167,speech,True,male,adult,standard,,,,,,,,,,
BR,36.167,37.569,nonspeech,False,,,,,True,,,,,,,,
HA+HA,37.569,39.796,speech,True,male,adult,standard,,,,,,,,,,
BR,39.796,41.24,nonspeech,False,,,,,True,,,,,,,,
HA+HA,41.24,43.648,speech,True,male,adult,standard,,,,,,,,,,
BR,43.648,44.317,nonspeech,False,,,,,True,,,,,,,,
HA+HA,44.317,47.903,speech,True,male,adult,standard,,,,,,,,,,
BR,47.903,49.01,nonspeech,False,,,,,True,,,,,,,,
HA+HA,49.01,50.648,speech,True,male,adult,standard,,,,,,,,,,
BR,50.648,51.122,nonspeech,False,,,,,True,,,,,,,,
HA+HA,51.122,53.945,speech,True,male,adult,standard,,,,,,,,,,
BR,53.945,54.945,nonspeech,False,,,,,True,,,,,,,,
HA+HA,54.945,60.635,speech,True,male,adult,standard,,,,,,,,,,
HA,60.635,61.024,speech,False,male,adult,standard,,,,,,,,,,
,61.024,61.419,nonspeech,False,,,,,,,,,,,,,True
