label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA,0.0,2.652,speech,False,male,adult,standard,,,,,,,,,,
RE,2.652,3.042,nonspeech,False,,,,,,,,,,True,,,
HA,3.042,3.525,speech,False,male,adult,standard,,,,,,,,,,
HA-,3.525,4.165,speech,False,male,adult,onomatopoeia,,,,,,,,,,
HA,4.165,7.513,speech,False,male,adult,standard,,,,,,,,,,
RE,7.513,7.891,nonspeech,False,,,,,,,,,,True,,,
HA,7.891,13.167,speech,False,male,adult,standard,,,,,,,,,,
RE,13.167,13.578,nonspeech,False,,,,,,,,,,True,,,
HA,13.578,22.122,speech,False,male,adult,standard,,,,,,,,,,
,22.122,22.544,nonspeech,False,,,,,,,,,,,,,True
HA,22.544,27.701,speech,False,male,adult,standard,,,,,,,,,,
HA+HA,27.701,32.323,speech,True,male,adult,standard,,,,,,,,,,
HA,32.323,33.426,speech,False,male,adult,standard,,,,,,,,,,
RE,33.426,33.869,nonspeech,False,,,,,,,,,,True,,,
HA,33.869,36.799,speech,False,male,adult,standard,,,,,,,,,,
HA+HA,36.799,38.912,speech,True,male,adult,standard,,,,,,,,,,
HA,38.912,45.035,speech,False,male,adult,standard,,,,,,,,,,
HA+HA,45.035,51.144,speech,True,male,adult,standard,,,,,,,,,,
HA,51.144,52.459,speech,False,male,adult,standard,,,,,,,,,,
RE,52.459,52.763,nonspeech,False,,,,,,,,,,True,,,
HA,52.763,55.689,speech,False,male,adult,standard,,,,,,,,,,
RE,55.689,55.979,nonspeech,False,,,,,,,,,,True,,,
HA-,55.979,56.816,speech,False,male,adult,onomatopoeia,,,,,,,,,,
HA,56.816,57.438,speech,False,male,adult,standard,,,,,,,,,,
,57.438,57.874,nonspeech,False,,,,,,,,,,,,,True
HA,57.874,59.08,speech,False,male,adult,standard,,,,,,,,,,
RE,59.08,59.444,nonspeech,False,,,,,,,,,,True,,,
HA,59.444,60.181,speech,False,male,adult,standard,,,,,,,,,,
