label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HS,0.0,2.329,speech,False,male,senior,standard,,,,,,,,,,
FA+HA,2.329,2.882,speech,True,undefgender,adult,standard,,,,,,,,,,
HA,2.882,5.174,speech,False,male,adult,standard,,,,,,,,,,
RE,5.174,5.489,nonspeech,False,,,,,,,,,,True,,,
HA,5.489,5.915,speech,False,male,adult,standard,,,,,,,,,,
RE,5.915,6.28,nonspeech,False,,,,,,,,,,True,,,
HA+FA,6.28,9.445,speech,True,undefgender,adult,standard,,,,,,,,,,
FA+HS,9.445,14.467,speech,True,undefgender,undefage,standard,,,,,,,,,,
HS,14.467,15.708,speech,False,male,senior,standard,,,,,,,,,,
RE,15.708,15.915,nonspeech,False,,,,,,,,,,True,,,
HS+FA,15.915,17.02,speech,True,undefgender,undefage,standard,,,,,,,,,,
HS,17.02,18.517,speech,False,male,senior,standard,,,,,,,,,,
RE,18.517,18.88,nonspeech,False,,,,,,,,,,True,,,
HS+FA+HA,18.88,23.75,speech,True,undefgender,undefage,standard,,,,,,,,,,
FA,23.75,28.501,speech,False,female,adult,standard,,,,,,,,,,
RE,28.501,28.724,nonspeech,False,,,,,,,,,,True,,,
FA,28.724,31.927,speech,False,female,adult,standard,,,,,,,,,,
RE,31.927,32.278,nonspeech,False,,,,,,,,,,True,,,
FA,32.278,35.045,speech,False,female,adult,standard,,,,,,,,,,
RE,35.045,35.44,nonspeech,False,,,,,,,,,,True,,,
FA,35.44,37.7,speech,False,female,adult,standard,,,,,,,,,,
HS+FA,37.7,38.475,speech,True,undefgender,undefage,standard,,,,,,,,,,
FA,38.475,42.853,speech,False,female,adult,standard,,,,,,,,,,
BR,42.853,43.437,nonspeech,False,,,,,True,,,,,,,,
FA,43.437,44.366,speech,False,female,adult,standard,,,,,,,,,,
FA+HA,44.366,45.846,speech,True,undefgender,adult,standard,,,,,,,,,,
RE,45.846,46.157,nonspeech,False,,,,,,,,,,True,,,
FA+HA,46.157,49.775,speech,True,undefgender,adult,standard,,,,,,,,,,
RE,49.775,50.145,nonspeech,False,,,,,,,,,,True,,,
FA+HS,50.145,54.654,speech,True,undefgender,undefage,standard,,,,,,,,,,
RE,54.654,54.925,nonspeech,False,,,,,,,,,,True,,,
FA,54.925,58.33,speech,False,female,adult,standard,,,,,,,,,,
RE,58.33,58.616,nonspeech,False,,,,,,,,,,True,,,
FA,58.616,61.056,speech,False,female,adult,standard,,,,,,,,,,
